User1,User2,TotalMsgs,AggressiveMsgs,Peerness
1,9,1,1,0.5277777777777777
1,11,1,1,0.8411111111111111
1,12,1,0,0.3944444444444445
1,17,1,0,0.7666666666666666
1,24,2,1,0.711111111111111
1,29,1,0,0.7055555555555555
1,31,1,1,0.65
1,33,1,0,0.611111111111111
1,37,1,0,0.7055555555555555
1,41,1,1,0.7055555555555555
1,43,1,0,0.461111111111111
1,47,1,0,0.711111111111111
1,48,1,0,0.7333333333333333
1,51,2,2,0.6444444444444444
1,54,1,1,0.6722222222222222
1,56,1,1,0.7333333333333333
1,59,1,1,0.5222222222222223
1,62,1,0,0.6777777777777777
1,70,1,1,0.611111111111111
1,76,2,2,0.7
1,77,1,0,0.7333333333333333
1,79,1,0,0.4277777777777777
1,83,1,1,0.7055555555555555
1,86,1,0,0.3999999999999999
1,88,2,0,0.9355555555555555
1,98,1,1,0.5277777777777777
1,99,1,1,0.5833333333333333
1,103,1,1,0.611111111111111
1,106,1,1,0.6444444444444444
1,118,3,0,0.7055555555555555
1,125,1,0,0.65
1,127,1,1,0.65
1,141,1,1,0.3388888888888889
1,144,1,1,0.611111111111111
1,152,1,0,0.3388888888888889
1,161,2,1,0.7666666666666666
1,164,1,0,0.5277777777777777
1,180,1,0,0.7055555555555556
1,181,1,1,0.3944444444444445
1,187,1,0,0.7055555555555555
1,194,1,1,0.3944444444444445
1,197,1,1,0.5888888888888889
1,199,1,1,0.5833333333333333
2,1,1,0,0.5555555555555555
2,6,1,0,0.6444444444444444
2,8,1,1,0.37222222222222223
2,18,1,0,0.49444444444444435
2,20,1,1,0.5555555555555555
2,30,2,2,0.3666666666666667
2,33,2,2,0.4
2,43,1,0,0.24999999999999997
2,51,2,1,0.6777777777777777
2,52,1,1,0.7666666666666666
2,54,1,0,0.461111111111111
2,55,2,1,0.6722222222222222
2,59,2,1,0.3111111111111111
2,64,3,2,0.4277777777777777
2,65,2,1,0.6444444444444444
2,71,1,1,0.7522222222222221
2,84,1,1,0.461111111111111
2,86,1,1,0.1888888888888889
2,92,1,1,0.47444444444444445
2,98,1,0,0.9688888888888889
2,100,2,2,0.3388888888888889
2,104,1,1,0.49444444444444435
2,113,1,1,0.4277777777777777
2,114,1,0,0.461111111111111
2,115,2,1,0.18333333333333335
2,117,1,0,0.49444444444444435
2,119,1,0,0.18333333333333335
2,122,1,0,0.5555555555555555
2,123,1,1,0.3055555555555556
2,125,1,1,0.6722222222222222
2,128,1,1,0.461111111111111
2,131,1,1,0.7388888888888888
2,132,1,1,0.611111111111111
2,140,1,0,0.3388888888888889
2,148,1,0,0.4888888888888888
2,150,1,1,0.1888888888888889
2,152,1,0,0.1277777777777778
2,155,1,0,0.7055555555555555
2,159,1,0,0.4277777777777777
2,162,1,0,0.7388888888888888
2,170,1,1,0.24444444444444444
2,174,1,0,0.1277777777777778
2,184,1,0,0.3111111111111111
2,192,1,1,0.2777777777777778
2,198,1,0,0.5222222222222221
3,1,1,0,0.6388888888888888
3,4,1,0,0.5555555555555555
3,11,1,1,0.7388888888888888
3,17,1,1,0.6388888888888888
3,23,1,0,0.7
3,24,1,0,0.5833333333333333
3,28,1,1,0.611111111111111
3,30,1,1,0.7055555555555555
3,42,1,1,0.7055555555555555
3,56,2,2,0.6722222222222222
3,62,1,0,0.55
3,66,1,1,0.5222222222222221
3,72,1,0,0.4555555555555555
3,77,1,1,0.6722222222222222
3,79,1,1,0.5555555555555555
3,85,1,0,0.4277777777777777
3,87,1,1,0.6166666666666666
3,89,1,0,0.6166666666666666
3,92,1,1,0.5833333333333333
3,93,1,0,0.7388888888888888
3,96,1,1,0.49444444444444446
3,97,1,0,0.4
3,99,1,1,0.4555555555555555
3,102,1,1,0.5277777777777778
3,103,1,1,0.7388888888888888
3,109,1,0,0.6777777777777777
